Location,Population,Total_Cases,Infection_Percentage
Cote d'Ivoire,27053629,61863,0.228668028
Guinea,13497237,30798,0.228180034
Haiti,11541683,25744,0.223052392
Eritrea,3601462,7583,0.210553381
Low income,665149040,1389994,0.208974819
Benin,12451031,24897,0.199959345
Angola,33933611,65346,0.192570133
Tajikistan,9749625,17493,0.179422285
Burundi,12255429,20610,0.168170368
Hong Kong,7552800,12478,0.165210253
Madagascar,28427333,44800,0.157594805
Somalia,16359500,23051,0.140902839
Liberia,5180208,5915,0.114184604
South Sudan,11381377,12842,0.112833447
Nigeria,211400704,215164,0.101780172
Sudan,44909351,44406,0.098879184
Mali,20855724,18329,0.087884746
Sierra Leone,8141343,6420,0.078856768
Burkina Faso,21497097,16334,0.075982352
Taiwan,23855008,16704,0.070023032
Democratic Republic of Congo,92377986,59208,0.064093192
Palau,18174,8,0.044018928
Tanzania,61498438,26309,0.042779948
Chad,16914985,5703,0.033715667
Yemen,30490639,10047,0.032951097
Niger,25130810,7131,0.028375528
China,1444216102,99594,0.006896059
Marshall Islands,59618,4,0.006709383
Solomon Islands,703995,20,0.002840929
Vanuatu,314464,6,0.001908009
Kiribati,121388,2,0.001647609
Samoa,200144,3,0.001498921
Tonga,106759,1,0.000936689
Micronesia (country),116255,1,0.000860178
Aruba,107195,0,0
Anguilla,15125,0,0
Bonaire Sint Eustatius and Saba,26445,0,0
Bermuda,62092,0,0
Cook Islands,17572,0,0
Curacao,164796,0,0
Cayman Islands,66498,0,0
Falkland Islands,3528,0,0
Faeroe Islands,49053,0,0
Guernsey,63385,0,0
Gibraltar,33691,0,0
Greenland,56868,0,0
Isle of Man,85410,0,0
Jersey,101073,0,0
Macao,658391,0,0
Montserrat,4981,0,0
New Caledonia,288217,0,0
Niue,1614,0,0
Nauru,10873,0,0
Pitcairn,47,0,0
French Polynesia,282534,0,0
Saint Helena,6095,0,0
Sint Maarten (Dutch part),43421,0,0
Turks and Caicos Islands,39226,0,0
Tokelau,1368,0,0
Turkmenistan,6117933,0,0
Tuvalu,11925,0,0
British Virgin Islands,30423,0,0
Wallis and Futuna,11094,0,0
Northern Cyprus,,0,0
International,,721,0
